OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
26333,2021575,1,1,
26334,2021577,1,1,
26335,2021587,1,1,
26336,2021590,1,1,
26337,2021591,1,1,
26338,2021592,1,2,
26339,2021599,1,1,
26340,2021600,1,1,
26341,2021601,1,2,
26342,2021602,1,1,
26343,2021603,1,1,
26344,2021604,1,1,
26345,2021605,1,3,
26346,2021606,1,1,
26347,2021607,1,1,
26348,2021610,1,1,
26349,2021611,1,2,
26350,2021614,1,2,
26351,2021617,1,1,
26352,2021608,3,1,
26353,2021619,1,3,
26354,2021620,1,1,
26355,2021621,1,1,
26356,2021622,1,2,
26357,2021623,1,2,
26358,2034278,1,1,
26359,2034280,1,2,
26360,2034281,1,1,
26361,2034283,1,1,
26362,2034285,1,1,
26363,2034286,1,1,
26364,2034291,1,1,
26365,2034292,1,1,
26366,2034293,1,2,
26367,2034556,1,1,
26368,2034562,1,1,
26369,2034566,1,2,
26370,2034567,1,1,
26371,2034570,1,1,
26372,2034574,1,1,
26373,2034577,1,1,
26374,2034578,1,1,
26375,2034579,1,1,
26376,2034580,1,1,
26377,2034581,2,1,
26378,2034582,2,1,
26379,2034583,1,1,
26380,2034585,2,1,
26381,2034586,1,1,
26382,2034588,1,1,
26383,2034612,2,1,
26384,2034610,2,1,
26385,2034608,1,1,
26386,2034607,1,1,
26387,2034606,1,1,
26388,2034605,2,1,
26389,2034604,1,1,
26390,2034603,1,1,
26391,2034603,2,1,
26392,2034602,2,1,
26393,2034601,1,1,
26394,2034600,1,1,
26395,2034598,2,1,
26396,2034597,2,1,
26397,2034595,2,1,
26398,2034594,2,1,
26399,2034591,1,1,
26400,2034094,2,1,
26401,2034095,2,1,
26402,2034096,2,1,
26403,2034101,1,1,
26404,2034098,1,1,
26405,2034099,2,1,
26406,2034105,2,1,
26407,2034107,2,1,
26408,2034108,3,1,
26409,2034115,2,2,
26410,2034116,1,1,
26411,2034118,2,1,
26412,2034120,1,1,
26413,2034124,1,1,
26414,2034126,1,1,
26415,2034127,2,1,
26416,2034128,2,1,
26417,2034130,1,1,
26418,2034131,1,1,
26419,2034132,1,1,
26420,2034133,1,1,
26421,2034134,1,1,
26422,2034139,1,1,
26423,2034139,2,1,
26424,2034140,1,3,
26425,2034141,1,1,
26426,2034142,1,1,
26427,2034143,2,1,
26428,2034144,2,1,
26429,2034145,2,1,
26430,2034147,2,1,
26431,2034148,2,2,
26432,2034149,2,1,
26433,2034151,2,1,
26434,2034154,1,1,
26435,2034158,2,1,
26436,2034160,2,1,
26437,2034161,2,1,
26438,2034164,1,1,
26439,2034167,1,2,
26440,2034168,1,1,
26441,2034168,2,1,
26442,2034170,2,1,
26443,2034174,1,1,
26444,2034174,2,1,
26445,2034175,1,1,
26446,2034176,2,1,
26447,2034177,2,1,
26448,2034178,1,1,
26449,2034179,1,1,
26450,2034180,2,1,
26451,2034184,2,1,
26452,2034185,3,1,
26453,2034181,1,1,
26454,2034182,1,1,
26455,2034190,1,1,
26456,2034192,3,1,
26457,2034188,1,1,
26458,2034198,2,1,
26459,2034196,2,1,
26460,2034194,1,2,
26461,2034199,3,1,
26462,2034206,1,1,
26463,2034208,1,1,
26464,2034209,1,2,
26465,2034211,1,1,
26466,2034218,1,1,
26467,2034219,1,1,
26468,2034220,1,1,
26469,2034217,1,2,
26470,2034221,1,1,
26471,2034221,2,1,
26472,2034222,1,2,
26473,2034223,1,1,
26474,2034224,1,1,
26475,2034225,1,1,
26476,2034226,1,1,
26477,2034230,1,2,
26478,2034232,1,1,
26479,2034227,1,1,
26480,2034228,1,1,
26481,2034229,1,1,
26482,2034236,1,1,
26483,2034237,1,1,
26484,2034233,1,1,
26485,2034234,1,1,
26486,2034235,1,1,
26487,2034239,1,2,
26488,2034240,1,1,
26489,2034241,1,1,
26490,2034243,1,1,
26491,2034244,1,1,
26492,2034249,1,1,
26493,2034250,1,1,
26494,2034245,1,1,
26495,2034247,1,1,
26496,2034254,1,1,
26497,2034255,3,3,
26498,2034256,1,2,
26499,2034256,2,1,
26500,2034257,1,1,
26501,2034258,1,1,
26502,2034266,1,1,
26503,2034267,1,1,
26504,2034268,2,1,
26505,2033604,3,1,
26506,2033606,3,1,
26507,2033607,1,1,
26508,2033608,3,1,
26509,2033609,1,1,
26510,2033610,3,1,
26511,2033611,2,1,
26512,2033612,2,1,
26513,2033613,2,1,
26514,2033614,2,1,
26515,2033615,2,1,
26516,2033616,1,1,
26517,2033617,1,1,
26518,2033618,2,1,
26519,2033619,2,1,
26520,2033620,1,1,
26521,2033621,3,1,
26522,2033622,1,1,
26523,2033624,2,1,
26524,2033625,1,1,
26525,2033626,1,1,
26526,2033627,1,1,
26527,2033628,2,1,
26528,2033629,1,1,
26529,2033630,1,1,
26530,2033631,1,1,
26531,2033632,3,1,
26532,2033633,2,1,
26533,2033634,1,1,
26534,2033635,3,1,
26535,2033637,3,1,
26536,2033638,2,1,
26537,2033639,2,1,
26538,2033640,2,1,
26539,2033644,1,1,
26540,2033646,1,1,
26541,2033648,1,1,
26542,2033649,1,1,
26543,2033650,1,1,
26544,2033651,1,1,
26545,2033652,1,1,
26546,2033653,2,1,
26547,2033654,1,1,
26548,2033655,1,1,
26549,2033659,1,1,
26550,2033660,1,1,
26551,2033661,1,1,
26552,2033662,1,1,
26553,2033663,1,1,
26554,2033664,1,1,
26555,2033666,1,1,
26556,2033675,1,1,
26557,2033677,2,1,
26558,2033672,1,1,
26559,2033674,1,1,
26560,2033679,3,1,
26561,2033680,3,1,
26562,2033682,1,1,
26563,2033682,2,1,
26564,2033683,1,1,
26565,2033684,2,1,
26566,2033685,2,1,
26567,2033686,1,2,
26568,2033687,1,1,
26569,2033688,1,2,
