OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"37,133","2,033,644",1,8,
"37,134","2,033,645",1,4,
"37,135","2,033,646",1,4,
"37,136","2,033,647",1,4,
"37,137","2,033,648",1,4,
"37,138","2,033,649",1,3,
"37,139","2,033,650",1,2,
"37,140","2,033,651",1,2,
"37,141","2,033,652",1,3,
"37,142","2,033,653",1,3,
"37,143","2,033,654",1,3,
"37,144","2,033,655",1,3,
"37,145","2,033,659",1,3,
"37,146","2,033,660",1,3,
"37,147","2,033,661",1,4,
"37,148","2,033,656",1,2,
"37,149","2,033,657",1,2,
"37,150","2,033,658",1,8,
"37,151","2,033,662",1,2,
"37,152","2,033,663",1,2,
"37,153","2,033,664",1,2,
"37,154","2,033,666",1,4,
"37,155","2,033,667",1,4,
"37,156","2,033,668",1,4,
"37,157","2,033,669",1,11,
"37,158","2,033,670",1,4,
"37,159","2,033,671",1,5,
"37,160","2,033,675",1,5,
"37,161","2,033,749",1,3,
"37,162","2,033,676",1,4,
"37,163","2,033,676",2,1,
"37,164","2,033,677",1,5,
"37,165","2,033,672",1,4,
"37,166","2,033,673",1,6,
"37,167","2,033,674",1,11,
"37,168","2,033,678",1,5,
"37,169","2,033,680",1,5,
"37,170","2,033,681",1,5,
"37,171","2,033,682",1,5,
"37,172","2,033,683",1,4,
"37,173","2,033,684",1,4,
"37,174","2,033,685",1,5,
"37,175","2,033,686",1,5,
"37,176","2,033,687",1,5,
"37,177","2,033,688",1,5,
"37,178","2,033,689",1,5,
"37,179","2,033,690",1,5,
"37,180","2,033,691",1,5,
"37,181","2,033,692",1,5,
"37,182","2,033,693",1,5,
"37,183","2,033,694",1,5,
"37,184","2,033,695",1,5,
"37,185","2,033,699",1,5,
"37,186","2,033,700",1,3,
"37,187","2,033,701",1,5,
"37,188","2,033,696",1,2,
"37,189","2,033,697",1,2,
"37,190","2,033,698",1,5,
"37,191","2,033,702",1,5,
"37,192","2,033,703",1,5,
"37,193","2,033,704",1,4,
