OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
37169,2033680,1,5,
37170,2033681,1,5,
37171,2033682,1,5,
37172,2033683,1,4,
37173,2033684,1,4,
37174,2033685,1,5,
37175,2033686,1,5,
37176,2033687,1,5,
37177,2033688,1,5,
37178,2033689,1,5,
37179,2033690,1,5,
37180,2033691,1,5,
37181,2033692,1,5,
37182,2033693,1,5,
37183,2033694,1,5,
37184,2033695,1,5,
37185,2033699,1,5,
37186,2033700,1,3,
37187,2033701,1,5,
37188,2033696,1,2,
37189,2033697,1,2,
37190,2033698,1,5,
37191,2033702,1,5,
37192,2033703,1,5,
37193,2033704,1,4,
37194,2033705,1,5,
37195,2033706,1,11,
37196,2033707,1,5,
37197,2033708,1,4,
37198,2033709,1,4,
37199,2033710,1,4,
37200,2033711,1,5,
37201,2033712,1,3,
37202,2033713,1,2,
37203,2033714,1,3,
37204,2033716,1,3,
37205,2033717,1,3,
37206,2033715,1,5,
37207,2033718,1,5,
37208,2033719,1,4,
37209,2033720,1,5,
37210,2033721,1,5,
37211,2033722,1,6,
37212,2033723,1,4,
37213,2033724,1,4,
37214,2033725,1,5,
37215,2033726,1,3,
37216,2033727,1,4,
37217,2033735,1,2,
37218,2033728,1,4,
37219,2033729,1,2,
37220,2033730,1,4,
37221,2033731,1,2,
37222,2033732,1,2,
37223,2033734,1,3,
37224,2033736,1,4,
37225,2033737,1,4,
37226,2033738,1,4,
37227,2033739,1,5,
37228,2033740,1,5,
37229,2033741,1,5,
37230,2033742,1,5,
37231,2033743,1,5,
37232,2033744,1,5,
37233,2033745,1,5,
37234,2033746,1,5,
37235,2033747,1,5,
37236,2033748,1,3,
37237,2033750,1,4,
37238,2033751,1,4,
37239,2033752,1,5,
37240,2033753,1,2,
37241,2033754,1,5,
37242,2033755,1,4,
37243,2033756,1,4,
37244,2033757,1,4,
37245,2033758,1,4,
37246,2033759,1,3,
37247,2033760,1,4,
37248,2033761,1,3,
37249,2033762,1,3,
37250,2033763,1,3,
37251,2033764,1,4,
37252,2033765,1,6,
37253,2033766,1,5,
37254,2033767,1,5,
37255,2033768,1,4,
37256,2033769,1,4,
37257,2033770,1,4,
37258,2033771,1,5,
37259,2033772,1,5,
37260,2033773,1,5,
37261,2033774,1,5,
37262,2033775,1,5,
37263,2033776,1,4,
37264,2033777,1,5,
37265,2033778,1,5,
37266,2033779,1,5,
37267,2033780,1,5,
37268,2033781,1,5,
37269,2033782,1,4,
37270,2033783,1,4,
37271,2033784,1,4,
37272,2033785,1,4,
37273,2033789,1,3,
37274,2033790,1,2,
37275,2033791,1,4,
37276,2033786,1,4,
37277,2033787,1,4,
37278,2033788,1,4,
37279,2033795,1,5,
37280,2033796,1,5,
37281,2033797,1,5,
37282,2033792,1,5,
37283,2033794,1,1,
37284,2033798,1,4,
37285,2033800,1,6,
37286,2033801,1,2,
37287,2033802,1,1,
37288,2033803,1,4,
37289,2033804,1,4,
37290,2033805,1,4,
37291,2033806,1,2,
37292,2033807,1,4,
37293,2033808,1,4,
37294,2033809,1,4,
37295,2033810,1,4,
37296,2033811,1,4,
37297,2033812,1,5,
37298,2033813,1,5,
37299,2033814,1,3,
37300,2033815,1,3,
37301,2033816,1,4,
37302,2033817,1,4,
37303,2033818,1,4,
37304,2033819,1,4,
37305,2033820,1,4,
37306,2033821,1,2,
37307,2033822,1,4,
37308,2033823,1,4,
37309,2033824,1,4,
37310,2033825,1,3,
37311,2033826,1,4,
37312,2033827,1,3,
37313,2033828,1,4,
37314,2033832,1,2,
37315,2033833,1,2,
37316,2033834,1,4,
37317,2033829,1,4,
37318,2033830,1,4,
37319,2033831,1,4,
37320,2033838,1,4,
37321,2033839,1,4,
37322,2033840,1,6,
37323,2033835,1,4,
37324,2033836,1,2,
37325,2033837,1,4,
37326,2033844,1,4,
37327,2033846,1,4,
37328,2033847,1,4,
37329,2033841,1,3,
37330,2033842,1,4,
37331,2033843,1,4,
37332,2033848,1,4,
37333,2033845,1,4,
37334,2033849,1,4,
37335,2033850,1,3,
37336,2033851,1,3,
37337,2033852,1,4,
37338,2033853,1,2,
37339,2033854,1,2,
37340,2033799,1,5,
37341,2033855,1,5,
37342,2033857,1,5,
37343,2033858,1,5,
37344,2033859,1,5,
37345,2033860,1,3,
37346,2033861,1,3,
37347,2033862,1,2,
37348,2033863,1,5,
37349,2033864,1,5,
37350,2033865,1,4,
37351,2033866,1,2,
37352,2033867,1,5,
37353,2033868,1,5,
37354,2033869,1,6,
37355,2033870,1,7,
37356,2033871,1,7,
37357,2033872,1,7,
37358,2033873,1,7,
37359,2033874,1,7,
37360,2033875,1,7,
37361,2033879,1,2,
37362,2033880,1,2,
37363,2033881,1,2,
37364,2033876,1,2,
37365,2033877,1,2,
37366,2033878,1,2,
37367,2033882,1,2,
37368,2033883,1,2,
37369,2033884,1,2,
37370,2033885,1,5,
37371,2033886,1,7,
37372,2033887,1,8,
37373,2033888,1,6,
37374,2033889,1,6,
37375,2033890,1,6,
37376,2033891,1,6,
37377,2033892,1,6,
37378,2033893,1,6,
37379,2033894,1,6,
37380,2033895,1,7,
37381,2033898,1,8,
37382,2033899,1,2,
37383,2033900,1,4,
37384,2033901,1,4,
37385,2033902,1,5,
37386,2033903,1,2,
37387,2033904,1,2,
37388,2033905,1,6,
37389,2033906,1,4,
37390,2033907,1,7,
37391,2033908,1,4,
37392,2033909,1,4,
37393,2033910,1,4,
37394,2033911,1,7,
37395,2033912,1,2,
37396,2033913,1,4,
37397,2033914,1,2,
37398,2033915,1,4,
37399,2033919,1,13,
37400,2033920,1,9,
37401,2033921,1,8,
37402,2033916,1,5,
37403,2033917,1,2,
37404,2033918,1,2,
37405,2033925,1,2,
37406,2033926,1,2,
37407,2033927,1,4,
37408,2033922,1,3,
37409,2033923,1,7,
37410,2033924,1,7,
37411,2033931,1,7,
37412,2033932,1,3,
37413,2033933,1,8,
37414,2033928,1,5,
37415,2033929,1,7,
37416,2033930,1,3,
37417,2033937,1,5,
37418,2033938,1,5,
37419,2033939,1,2,
37420,2033934,2,3,
37421,2033935,2,3,
37422,2033936,1,3,
37423,2033943,1,4,
37424,2033944,1,8,
37425,2033945,1,13,
37426,2033941,1,9,
37427,2033940,1,2,
37428,2033942,1,4,
37429,2033946,1,9,
37430,2033947,1,8,
37431,2033948,1,6,
37432,2033949,1,8,
37433,2033950,1,6,
37434,2033951,1,4,
37435,2033955,1,4,
37436,2033956,1,4,
37437,2033957,1,3,
37438,2033952,1,4,
37439,2033953,1,4,
37440,2033954,1,4,
37441,2033961,1,8,
37442,2033962,1,8,
37443,2033963,1,8,
37444,2033958,1,3,
37445,2033959,1,3,
37446,2033960,1,3,
37447,2033967,1,8,
37448,2033968,1,9,
37449,2033969,1,5,
37450,2033964,1,5,
37451,2033965,1,8,
37452,2033966,1,8,
37453,2033970,1,3,
37454,2033971,1,3,
37455,2033972,1,2,
37456,2033973,1,3,
37457,2033982,1,2,
37458,2033981,1,2,
37459,2033977,1,3,
37460,2033976,1,3,
37461,2033975,1,2,
37462,2033980,1,2,
37463,2033979,1,1,
37464,2033978,1,2,
37465,2033985,1,2,
37466,2033986,1,1,
37467,2033987,1,3,
37468,2033974,1,2,
37469,2033983,1,3,
37470,2033984,1,2,
37471,2033988,1,3,
37472,2033989,1,3,
37473,2033990,1,5,
37474,2033991,1,9,
37475,2033992,1,8,
37476,2033993,1,9,
37477,2033994,1,7,
37478,2033995,1,9,
37479,2033996,1,4,
37480,2033997,1,4,
37481,2033998,1,2,
37482,2033999,1,4,
37483,2034000,1,4,
37484,2034000,2,2,
37485,2034001,1,4,
37486,2034002,1,4,
37487,2034003,1,6,
37488,2034004,1,4,
37489,2034005,1,3,
37490,2034006,1,3,
37491,2034007,1,2,
37492,2034008,1,5,
37493,2034009,1,3,
37494,2034010,1,3,
37495,2034011,1,5,
37496,2034015,1,5,
37497,2034016,1,5,
37498,2034017,1,2,
37499,2034012,1,5,
37500,2034013,1,2,
37501,2034014,1,2,
37502,2034018,1,2,
37503,2034019,1,2,
37504,2034020,1,2,
37505,2034021,1,4,
37506,2034022,1,5,
37507,2034023,1,4,
37508,2034024,1,4,
37509,2034025,1,8,
37510,2034026,1,3,
37511,2034027,1,3,
37512,2034028,1,2,
37513,2034029,1,2,
37514,2034036,1,3,
37515,2034037,1,4,
37516,2034038,1,4,
37517,2034039,1,4,
37518,2034040,1,2,
37519,2034041,1,1,
37520,2034041,4,2,
37521,2034033,1,6,
37522,2034034,1,2,
37523,2034035,4,3,
37524,2034030,1,2,
37525,2034031,1,4,
37526,2034032,1,4,
37527,2034045,1,3,
37528,2034046,1,9,
37529,2034047,1,9,
37530,2034042,1,3,
37531,2034043,4,2,
37532,2034044,1,2,
37533,2034048,1,9,
37534,2034049,1,9,
37535,2034050,1,9,
37536,2034051,1,9,
37537,2034052,1,9,
37538,2034053,1,2,
37539,2034054,1,9,
37540,2034055,1,4,
37541,2034056,1,4,
37542,2034057,1,6,
37543,2034058,1,4,
37544,2034059,1,4,
37545,2034060,1,3,
37546,2034061,1,3,
37547,2034062,1,3,
37548,2034063,1,3,
37549,2034064,1,3,
37550,2034065,1,9,
37551,2034069,1,9,
37552,2034070,1,9,
37553,2034071,1,9,
37554,2034066,1,9,
37555,2034067,1,9,
37556,2034068,1,9,
37557,2034072,1,9,
37558,2034073,1,9,
37559,2034074,1,7,
37560,2034075,1,4,
37561,2034076,1,2,
37562,2034077,1,9,
37563,2034078,1,7,
37564,2034079,1,7,
37565,2034080,1,6,
37566,2034081,1,3,
37567,2034082,4,2,
37568,2034083,1,4,
37569,2034084,1,2,
37570,2034085,1,4,
37571,2034086,1,8,
37572,2034088,1,6,
37573,2034089,1,4,
37574,2033558,1,7,
37575,2033559,1,4,
37576,2033560,1,5,
37577,2033561,1,7,
37578,2033562,1,5,
37579,2033563,1,7,
37580,2033564,1,2,
37581,2033565,1,3,
37582,2033566,1,3,
37583,2033567,1,3,
37584,2033568,1,4,
37585,2033569,1,4,
37586,2033570,1,2,
37587,2033571,1,2,
37588,2033572,1,4,
37589,2033573,1,4,
37590,2033574,1,4,
37591,2033575,1,5,
37592,2033579,1,4,
37593,2033580,1,4,
37594,2033581,1,4,
37595,2033576,1,5,
37596,2033577,1,4,
37597,2033578,1,4,
37598,2033582,1,1,
37599,2033583,1,3,
37600,2033584,1,2,
37601,2033585,1,2,
37602,2033586,1,4,
37603,2033587,1,4,
37604,2033591,1,4,
37605,2033592,1,4,
37606,2033593,1,4,
37607,2033588,1,4,
37608,2033589,1,4,
37609,2033590,1,4,
37610,2033594,1,4,
37611,2033595,1,3,
37612,2033596,1,3,
37613,2033597,1,3,
37614,2033598,1,3,
37615,2033599,1,4,
37616,2033600,1,2,
37617,2033529,1,6,
37618,2033492,1,10,
37619,2033493,1,6,
37620,2033494,1,5,
37621,2033495,1,5,
37622,2033496,1,5,
37623,2033491,1,10,
37624,2033497,1,4,
37625,2033498,1,3,
37626,2033499,1,3,
37627,2033500,1,4,
37628,2033501,1,3,
37629,2033502,1,3,
37630,2033503,1,3,
37631,2033504,1,1,
37632,2033504,4,2,
37633,2033505,1,3,
37634,2033506,1,3,
37635,2033507,1,3,
37636,2033508,1,2,
37637,2033509,1,4,
37638,2033510,1,5,
37639,2033511,1,4,
37640,2033512,1,4,
37641,2033513,1,4,
37642,2033514,1,4,
37643,2033515,1,8,
37644,2033516,1,5,
37645,2033517,1,5,
37646,2033518,1,7,
37647,2033519,1,5,
37648,2033520,1,7,
37649,2033521,1,4,
37650,2033522,1,8,
37651,2033523,1,8,
37652,2033524,1,4,
37653,2033525,1,4,
37654,2033526,1,4,
37655,2033527,1,3,
37656,2033528,1,4,
37657,2033530,1,5,
37658,2033531,1,4,
37659,2033532,1,9,
37660,2033536,1,5,
37661,2033537,1,5,
37662,2033538,1,4,
37663,2033533,1,5,
37664,2033534,1,5,
37665,2033535,1,5,
37666,2033539,1,5,
37667,2033540,1,5,
37668,2033541,1,2,
37669,2033543,1,5,
37670,2033542,1,2,
37671,2033544,1,4,
37672,2033548,1,5,
37673,2033549,1,5,
37674,2033550,1,5,
37675,2033545,1,6,
37676,2033546,1,5,
37677,2033547,1,2,
37678,2033553,1,2,
37679,2033555,1,5,
37680,2033556,1,2,
37681,2033552,1,5,
37682,2033554,1,5,
37683,2033365,2,6,
37684,2033366,1,3,
37685,2033367,1,3,
37686,2033368,1,3,
37687,2033369,1,6,
37688,2033370,1,3,
37689,2033371,1,3,
37690,2033372,1,3,
37691,2033373,1,8,
37692,2033374,1,7,
37693,2033375,1,6,
37694,2033376,1,6,
37695,2033377,1,6,
37696,2033378,1,6,
37697,2033379,1,3,
37698,2033380,1,7,
37699,2033381,1,4,
37700,2033382,1,4,
37701,2033383,1,4,
37702,2033384,1,4,
37703,2033385,1,4,
37704,2033386,1,4,
37705,2033387,1,6,
37706,2033388,1,4,
37707,2033389,1,4,
37708,2033390,1,4,
37709,2033391,1,5,
37710,2033392,1,4,
37711,2033393,1,4,
37712,2033394,1,9,
37713,2033395,1,6,
37714,2033396,1,6,
37715,2033397,1,6,
37716,2033398,1,6,
37717,2033399,1,5,
37718,2033400,1,5,
37719,2033401,1,4,
37720,2033402,1,3,
37721,2033403,1,4,
37722,2033404,1,5,
37723,2033405,1,3,
37724,2033406,1,4,
37725,2033407,1,3,
37726,2033408,1,3,
37727,2033411,1,4,
37728,2033412,1,14,
37729,2033413,1,5,
37730,2033414,1,5,
37731,2033415,1,5,
37732,2033416,1,5,
37733,2033417,1,5,
37734,2033418,1,10,
37735,2033419,1,5,
37736,2033420,1,5,
37737,2033421,1,5,
37738,2033422,1,5,
37739,2033423,1,8,
37740,2033424,1,5,
37741,2033425,1,5,
37742,2033426,1,5,
37743,2033427,1,5,
37744,2033428,1,4,
37745,2033429,1,5,
37746,2033430,1,3,
37747,2033431,1,4,
37748,2033432,1,2,
37749,2033433,1,3,
37750,2033434,1,3,
37751,2033435,1,5,
37752,2033436,1,3,
37753,2033437,1,3,
37754,2033438,1,2,
37755,2033439,1,5,
37756,2033440,1,5,
37757,2033441,1,5,
37758,2033442,1,2,
37759,2033443,1,2,
37760,2033444,1,3,
37761,2033445,1,2,
37762,2033446,1,3,
37763,2033447,1,3,
37764,2033448,1,2,
37765,2033449,1,3,
37766,2033450,1,3,
37767,2033451,1,2,
37768,2033452,1,1,
37769,2033453,1,7,
37770,2033454,1,5,
37771,2033455,1,5,
37772,2033456,1,2,
37773,2033456,4,2,
37774,2033457,1,6,
37775,2033458,1,3,
37776,2033458,2,3,
37777,2033460,1,5,
37778,2033459,1,2,
37779,2033461,1,6,
37780,2033462,1,2,
37781,2033462,2,2,
37782,2033463,1,5,
37783,2033464,1,4,
37784,2033468,1,7,
37785,2033469,1,8,
37786,2033470,1,7,
37787,2033465,1,8,
37788,2033466,1,8,
37789,2033467,1,9,
37790,2033474,1,3,
37791,2033475,1,5,
37792,2033476,1,3,
37793,2033471,1,8,
37794,2033472,1,4,
37795,2033473,1,7,
37796,2033480,1,13,
37797,2033481,1,4,
37798,2033482,1,4,
37799,2033477,1,4,
37800,2033478,1,4,
37801,2033478,2,1,
37802,2033479,1,8,
37803,2033486,2,3,
37804,2033485,1,4,
37805,2033484,2,4,
37806,2033483,2,6,
37807,2033487,1,4,
37808,2033488,1,5,
37809,2033489,1,3,
37810,2033489,4,4,
37811,2033244,1,8,
37812,2033246,1,4,
37813,2033247,1,4,
37814,2033248,1,6,
37815,2033249,1,4,
37816,2033250,1,3,
37817,2033251,1,3,
37818,2033253,1,3,
37819,2033254,1,2,
37820,2033255,1,4,
37821,2033256,1,4,
37822,2033257,1,4,
37823,2033258,1,4,
37824,2033259,1,5,
37825,2033260,1,4,
37826,2033261,1,4,
37827,2033265,1,5,
37828,2033266,1,4,
37829,2033267,1,4,
37830,2033262,1,4,
37831,2033263,1,3,
37832,2033264,1,5,
37833,2033268,1,4,
37834,2033269,1,8,
37835,2033270,1,3,
37836,2033271,1,3,
37837,2033272,1,7,
37838,2033273,1,3,
37839,2033274,1,3,
37840,2033275,1,7,
37841,2033276,1,7,
37842,2033277,1,5,
37843,2033278,1,5,
37844,2033279,1,5,
37845,2033280,1,5,
37846,2033281,1,5,
37847,2033282,1,7,
37848,2033283,1,6,
37849,2033284,1,5,
37850,2033285,1,9,
37851,2033286,1,8,
37852,2033287,1,9,
37853,2033288,1,6,
37854,2033289,1,5,
37855,2033290,1,5,
37856,2033291,1,5,
37857,2033292,1,4,
37858,2033293,1,4,
37859,2033294,1,3,
37860,2033295,1,4,
37861,2033295,3,4,
37862,2033296,1,9,
37863,2033297,3,5,
37864,2033298,3,5,
37865,2033299,1,2,
37866,2033300,1,7,
