OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"26,088","2,021,889",1,1,
"26,089","2,021,893",1,2,
"26,090","2,021,896",2,1,
"26,091","2,021,895",1,1,
"26,092","2,021,898",1,1,
"26,093","2,021,900",1,1,
"26,094","2,021,902",1,1,
"26,095","2,021,903",1,1,
"26,096","2,021,904",1,1,
"26,097","2,021,907",1,1,
"26,098","2,021,906",1,1,
"26,099","2,021,905",1,1,
"26,100","2,021,911",1,1,
"26,101","2,021,912",1,1,
"26,102","2,021,913",1,1,
"26,103","2,021,920",1,1,
"26,104","2,021,921",1,1,
"26,105","2,021,922",1,1,
"26,106","2,021,919",1,1,
"26,107","2,021,926",1,3,
"26,108","2,021,925",1,1,
"26,109","2,021,929",1,2,
"26,110","2,021,930",1,1,
"26,111","2,021,776",1,1,
"26,112","2,021,782",1,1,
"26,113","2,021,787",1,1,
"26,114","2,021,788",1,1,
"26,115","2,021,789",1,1,
"26,116","2,021,790",1,1,
"26,117","2,021,792",1,2,
"26,118","2,021,795",1,1,
"26,119","2,021,796",1,1,
"26,120","2,021,800",1,1,
"26,121","2,021,803",1,1,
"26,122","2,021,804",1,1,
"26,123","2,021,798",1,1,
"26,124","2,021,806",1,1,
"26,125","2,021,808",1,1,
"26,126","2,021,814",1,1,
"26,127","2,021,815",1,1,
"26,128","2,021,816",1,1,
"26,129","2,021,817",2,1,
"26,130","2,021,818",1,1,
"26,131","2,021,819",1,1,
"26,132","2,021,823",1,1,
"26,133","2,021,827",1,3,
"26,134","2,021,829",1,1,
"26,135","2,021,830",1,2,
"26,136","2,021,831",1,2,
"26,137","2,022,060",1,1,
"26,138","2,022,061",1,1,
"26,139","2,022,062",1,1,
"26,140","2,022,063",1,1,
"26,141","2,022,064",1,1,
"26,142","2,022,065",1,1,
"26,143","2,022,066",1,2,
"26,144","2,022,067",1,1,
"26,145","2,022,069",1,1,
"26,146","2,022,070",1,1,
"26,147","2,022,071",1,1,
"26,148","2,022,072",1,2,
"26,149","2,022,073",1,1,
"26,150","2,022,074",1,1,
"26,151","2,022,077",2,2,
"26,152","2,022,081",1,1,
"26,153","2,022,083",1,1,
"26,154","2,022,078",1,1,
"26,155","2,022,079",1,2,
"26,156","2,022,080",1,2,
"26,157","2,022,084",1,1,
"26,158","2,022,085",1,1,
"26,159","2,022,086",1,1,
"26,160","2,022,088",1,1,
"26,161","2,022,089",1,2,
"26,162","2,022,093",1,1,
"26,163","2,022,094",1,1,
"26,164","2,022,091",1,1,
"26,165","2,022,092",2,1,
"26,166","2,022,097",1,1,
"26,167","2,022,099",1,1,
"26,168","2,022,105",2,1,
"26,169","2,022,106",1,1,
"26,170","2,022,103",1,1,
"26,171","2,022,104",1,1,
"26,172","2,022,108",1,1,
"26,173","2,022,118",1,1,
"26,174","2,022,115",1,2,
"26,175","2,022,126",1,1,
"26,176","2,022,121",1,1,
"26,177","2,022,122",1,1,
"26,178","2,022,125",1,1,
"26,179","2,022,135",1,1,
"26,180","2,022,132",1,1,
"26,181","2,022,137",1,1,
"26,182","2,022,138",1,1,
"26,183","2,022,139",1,1,
"26,184","2,022,140",1,2,
"26,185","2,022,142",1,1,
"26,186","2,022,146",1,1,
"26,187","2,022,147",1,2,
"26,188","2,022,153",1,1,
"26,189","2,022,149",1,1,
"26,190","2,022,151",1,1,
"26,191","2,022,155",1,1,
"26,192","2,022,156",2,1,
"26,193","2,022,164",1,2,
"26,194","2,022,163",1,1,
"26,195","2,022,161",1,1,
"26,196","2,022,157",1,1,
"26,197","2,022,165",1,2,
"26,198","2,022,160",1,1,
"26,199","2,022,159",1,1,
"26,200","2,022,158",1,1,
"26,201","2,022,167",1,1,
"26,202","2,022,168",1,1,
"26,203","2,022,169",1,1,
"26,204","2,022,170",1,1,
"26,205","2,022,171",1,1,
"26,206","2,022,172",1,1,
"26,207","2,022,177",1,1,
"26,208","2,022,174",1,1,
"26,209","2,022,175",1,1,
"26,210","2,022,185",1,1,
"26,211","2,022,184",2,1,
"26,212","2,022,183",1,1,
"26,213","2,022,182",1,1,
"26,214","2,022,180",2,1,
"26,215","2,022,179",1,1,
"26,216","2,022,178",1,1,
"26,217","2,022,187",1,1,
"26,218","2,022,188",1,1,
"26,219","2,022,189",1,2,
"26,220","2,022,194",1,1,
"26,221","2,022,195",1,1,
"26,222","2,022,195",2,1,
