OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
40365,2021446,2,6,
40366,2021447,1,7,
40367,2021448,1,7,
40368,2021449,1,6,
40369,2021450,1,5,
40370,2021451,1,5,
40371,2021452,1,5,
40372,2021453,1,5,
40373,2021454,1,5,
40374,2021455,1,5,
40375,2021456,1,7,
40376,2021457,1,6,
40377,2021458,1,5,
40378,2021459,1,5,
40379,2021460,1,5,
40380,2021461,1,10,
40381,2021462,1,9,
40382,2021463,1,7,
40383,2021464,1,7,
40384,2021465,1,8,
40385,2021466,1,9,
40386,2021467,1,4,
40387,2021468,1,9,
40388,2021469,1,7,
40389,2021470,1,5,
40390,2021471,1,5,
40391,2021472,1,5,
40392,2021473,1,5,
40393,2021474,1,3,
40394,2021475,1,5,
40395,2021479,1,5,
40396,2021480,1,5,
40397,2021481,1,5,
40398,2021476,1,4,
40399,2021477,1,5,
40400,2021478,1,5,
40401,2021485,1,5,
40402,2021486,1,7,
40403,2021482,1,5,
40404,2021483,1,5,
40405,2021484,1,5,
40406,2021487,1,6,
40407,2021488,1,6,
40408,2021489,1,10,
40409,2021490,1,5,
40410,2021491,1,5,
40411,2021492,1,5,
40412,2021493,1,5,
40413,2021494,1,5,
40414,2021495,1,5,
40415,2021496,1,5,
40416,2021497,1,5,
40417,2021498,1,5,
40418,2021499,1,5,
40419,2021503,1,5,
40420,2021504,1,5,
40421,2021505,1,2,
40422,2021500,1,5,
40423,2021501,1,2,
40424,2021502,1,5,
40425,2021509,1,6,
40426,2021510,1,7,
40427,2021511,1,6,
40428,2021506,1,4,
40429,2021507,1,6,
40430,2021508,1,5,
40431,2021512,1,5,
40432,2021513,1,5,
40433,2021515,2,8,
40434,2021516,1,19,
40435,2021517,1,10,
40436,2021518,1,8,
40437,2021519,1,1,
40438,2021520,1,4,
40439,2021521,1,4,
40440,2021522,1,4,
40441,2021523,1,3,
40442,2021524,1,4,
40443,2021525,2,2,
40444,2021526,1,3,
40445,2021527,1,9,
40446,2021528,1,7,
40447,2021529,1,9,
40448,2021530,1,3,
40449,2021531,1,3,
40450,2021532,1,4,
40451,2021533,1,2,
40452,2021534,1,7,
40453,2021535,1,5,
40454,2021536,1,5,
40455,2021537,1,4,
40456,2021538,1,9,
40457,2021539,1,7,
40458,2021540,1,16,
40459,2021541,1,7,
40460,2021542,1,7,
40461,2021543,1,4,
40462,2021544,1,9,
40463,2021548,1,9,
40464,2021549,1,9,
40465,2021550,1,9,
40466,2021545,1,9,
40467,2021546,1,9,
40468,2021547,1,8,
40469,2021553,1,9,
40470,2021555,2,5,
40471,2021556,1,7,
40472,2021551,1,9,
40473,2021552,1,4,
40474,2021554,1,12,
40475,2021557,2,2,
40476,2021558,2,4,
40477,2021559,1,4,
40478,2021560,1,4,
40479,2021561,2,2,
40480,2021562,1,9,
40481,2021563,1,5,
40482,2021564,1,7,
40483,2021565,1,7,
40484,2021566,1,5,
40485,2021567,1,5,
40486,2021568,1,7,
40487,2021572,1,5,
40488,2021573,1,5,
40489,2021574,1,5,
40490,2021569,1,5,
40491,2021570,1,5,
40492,2021571,1,5,
40493,2021578,2,4,
40494,2021579,1,5,
40495,2021580,1,5,
40496,2021575,1,5,
40497,2021576,1,5,
40498,2021577,1,4,
40499,2021581,1,5,
40500,2021582,2,2,
40501,2021583,1,5,
40502,2021584,1,8,
40503,2021585,1,5,
40504,2021586,1,5,
40505,2021587,1,3,
